순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
47,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,11,9.79117E+12,77490,472,66
47,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,12,9.79117E+12,77490,472,66
47,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,27,9.79119E+12,74910,911,66
52,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,2,9.79119E+12,77810,31,65
53,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,11,9.78893E+12,77400,400,64
53,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,9.79116E+12,77810,810,64
53,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,3,9.79116E+12,74810,816.7,64
53,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,3,9.79116E+12,77400,400,64
53,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,13,9.79117E+12,77490,472,64
53,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,13,9.79119E+12,67400,408,64
59,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,9.79116E+12,77810,810,63
59,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,1,9.79116E+12,77400,400,63
59,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,2,9.79116E+12,77400,400,63
59,웃소,원작: 웃소 ;그림: 박강호,미래엔,2021,6,9.79117E+12,77810,810,63
63,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,2,9.79116E+12,77810,691,62
64,급식왕 go,원작: 급식왕 ;그림: 구은미,북이십일,2020,1,9.78895E+12,74810,810,61
64,급식왕 go,원작: 급식왕 ;그림: 구은미,북이십일,2020,2,9.78895E+12,74810,810,61
64,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,2,9.79116E+12,77490,472,61
64,신기한 맛 도깨비 식당 8,"김용세, 김병섭 (지은이), 센개 (그림)",꿈터,2024,8,9.79117E+12,,,61
64,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,4,9.79117E+12,77400,400,61
64,비밀요원 레너드,글: 박설연 ;그림: 김덕영,아울북(북이십일 아울북),2022,18,9.79117E+12,74810,813.7,61
64,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,19,9.79117E+12,77400,408,61
64,급식왕 go,원작: 급식왕 ;그림: 구은미,샌드박스네트워크,2022,8,9.79119E+12,74810,810,61
72,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,4,9.79116E+12,77490,472,60
72,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,5,9.79117E+12,77400,400,60
72,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,6,9.79117E+12,74810,813.5,60
75,낭만 강아지 봉봉,홍민정 글 ;김무연 그림,다산북스,2022,5,9.79113E+12,74810,813.7,59
75,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,2,9.79116E+12,74810,816.7,59
75,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,26,9.79119E+12,74910,911,59
78,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,3,9.78894E+12,74810,813.7,58
78,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,4,9.79113E+12,77700,710,58
78,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,5,9.79117E+12,77810,691,58
78,흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식,원작: 흔한남매 ;그림: 유난희,미래엔,2020,11,9.79117E+12,77400,400,58
78,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,1,9.79117E+12,74810,980.2,58
83,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,4,9.78894E+12,74810,813.7,57
83,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,9.79116E+12,77810,810,57
83,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,6,9.79119E+12,77810,31,57
86,놓지 마 맞춤법,"신태훈,나승훈 글·그림",김영사,2023,1,9.78893E+12,77700,711,56
86,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,1,9.78894E+12,74810,813.7,56
86,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,61,9.79117E+12,77720,711.4,56
86,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,15,9.79119E+12,67400,408,56
90,급식왕 go,원작: 급식왕 ;그림: 구은미,북이십일,2020,4,9.78895E+12,74810,810,55
90,(흔한남매) 안 흔한 일기,흔한남매 원작 ;조병주 그림,미래엔,2020,1,9.79116E+12,74810,816.7,55
90,(흔한남매) 별난 방탈출 :탈출 미션 스토리북,흔한남매 원작 ;차차 그림,미래엔,2020,1,9.79116E+12,77810,691,55
90,의사 어벤저스 :어린이 의학 동화,글: 고희정 ;그림: 조승연,가나문화콘텐츠,2021,16,9.79117E+12,74510,510,55
90,웃소,원작: 웃소 ;그림: 박강호,미래엔,2021,5,9.79117E+12,77810,810,55
90,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,60,9.79117E+12,77720,711.4,55
96,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,6,9.78894E+12,73810,813.7,54
96,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,2,9.79117E+12,74810,980.2,54
96,(흔한남매) 별난 세계 여행,흔한남매 원작 ;정주연 그림,미래엔,2023,3,9.79117E+12,74810,980.2,54
96,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,11,9.79119E+12,67400,408,54
96,똥볶이 할멈 :K-히어로 판타지,글: 강효미 ;그림: 김무연,따끈따끈책방,2021,5,9.79119E+12,74810,813.7,54
96,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,14,9.79119E+12,67400,408,54
96,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,5,9.79119E+12,77810,31,54
96,백앤아 :교양이 층층 쌓이는 점프 맵,원작: 백앤아 ;그림: 돌만,샌드박스네트워크,2023,7,9.79119E+12,77810,31,54
96,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,19,9.79119E+12,77900,909,54
96,설민석의 한국사 대모험,"글: 설민석,그림: 정현희",Dankkum i(단꿈아이),2022,28,9.79119E+12,74910,911,54
96,(설민석의) 그리스 로마 신화 대모험,"글: 설민석,라임스튜디오",Dankkum i(단꿈아이),2022,9,9.79119E+12,77890,219,54
107,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,2,9.78894E+12,74810,813.7,53
107,고양이 해결사 깜냥,홍민정 동화 ;김재희 그림,창비,2020,7,9.78894E+12,73810,813.7,53
107,슈뻘맨의 숨은 과학 찾기 :엉뚱 도전 속에 숨은 과학 상식,슈뻘맨 원작 ;류수형 그림,미래엔,2023,2,9.79117E+12,77400,400,53
107,웃소,원작: 웃소 ;그림: 박강호,미래엔,2021,8,9.79117E+12,77810,810,53
111,흔한남매 과학 탐험대,원작: 흔한남매 ;임혜영,김영사,2021,8,9.78893E+12,77400,400,52
111,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;정보글: 최은하,아울북(북이십일 아울북),2018,27,9.78895E+12,74900,980.2,52
111,흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트,원작: 흔한남매 ;그림: 유희석,다산북스,2021,2,9.79113E+12,77700,710,52
111,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,1,9.79116E+12,77490,472,52
111,에그박사 :Egg&bugs,원작: 에그박사 ;그림: 홍종현,미래엔,2020,10,9.79117E+12,77490,472,52
111,곤충보다 작아진 정브르 :생물 학습 만화,원작: 정브르 ;그림: 강신영,겜툰,2022,5,9.79117E+12,77490,491,52
111,(타키포오) 얼렁뚱땅 상식스쿨,원작: 캐릭온TV ;그림: 조수현,대원씨아이,2023,1,9.79117E+12,77810,31,52
111,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스,2016,12,9.79119E+12,67400,408,52
119,급식왕 go,원작: 급식왕 ;그림: 구은미,북이십일,2020,5,9.78895E+12,74810,810,51
119,생일엔 마라탕,글: 류미정 ;그림: 손수정,밝은미래,2024,1,9.78897E+12,73810,813.7,51
119,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,20,9.79116E+12,73830,833.6,51
119,파뿌리24 16,"파뿌리 (원작), 백승하 (글), 이정태 (그림), 샌드박스 네트워크 (감수)",겜툰,2024,16,9.79117E+12,,,51
119,(타키·포오의) 이세계 여행사,원작: 캐릭온TV ;그림: 이지운,대원키즈,2023,2,9.79117E+12,77810,810,51
119,비밀요원 레너드,글: 박설연 ;그림: 김덕영,아울북(북이십일 아울북),2022,19,9.79117E+12,74810,813.7,51
125,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,4,9.78894E+12,74810,813.7,50
125,위풍당당 여우 꼬리,손원평 글 ;만물상 그림,창비,2021,5,9.78894E+12,73810,813.7,50
125,내일은 실험왕 :본격 대결 과학실험 만화 시즌2,글: 스토리 a. ;그림: 홍종현,미래엔,2021,28,9.79117E+12,77400,400,50
